Sample Name,PPG b,PPG c,PPG d,PPG e,PPG f,PPG g,PPG h,Calc A,Conand,Verb,Calc B,Mimulo,Unkn 16,Total PPGs
195.6.1_3,0,0,0,0,0,0.439,2.184,10.319,20.249,4.315,1.141,0.331,1.432,40.411
195.6.1_8,0,0,0.089,0,0,0.324,3.715,11.537,6.974,1.242,0.207,0.193,0.777,25.057
195.6.2_3,0,0,0,0,0,0.392,0,12.217,27.9,5.062,1.341,1.461,5.514,53.887
195.6.2_8,0,0,0,0,0,0.275,0.089,12.34,32.246,1.793,1.329,0.669,2.469,51.211
195.6.4_3,0,0,0,0.071,0,0.446,0.059,9.637,30.333,5.325,1.446,0.468,1.895,49.68
195.6.4_8,0,0,0.08,0,0,0.361,0.094,12.078,13.005,2.179,0.783,0.341,2.059,30.979
195.7.1_3,0,0,0,0,0,0.496,0.748,9.834,22.622,3.756,1.106,0.372,2.995,41.929
195.7.2_8,0,0,0,0.126,0,0.432,0,14.213,24.738,3.308,1.239,0.417,2.818,47.291
195.7.2_3,0,0,0,0,0,0.375,0.23,10.173,24.761,4.399,1.176,0.369,3.014,44.497
195.7.1_8,0,0,0.075,0.089,0,0.38,2.402,12.046,12.741,1.874,0.191,0.511,2.629,32.938
195.7.3_3,0,0,0,0,0,0.805,0.059,15.619,23.792,7.399,1.099,0.466,2.892,52.132
195.7.3_8,0,0,0.105,0,0,0.427,0.146,17.105,14.983,2.865,0.254,0.384,1.634,37.904
195.8.2_3,0,0,0,0,0,0.404,0.173,9.379,25.099,4.334,1.202,0.397,2.308,43.296
195.8.2_8,0,0,0.123,0,0,0.356,0.114,13.753,13.861,2.023,0.205,0.403,1.438,32.276
195.8.3_3,0,0,0,0,0,0.449,1.232,9.037,14.169,3.772,0.861,0.274,1.837,31.631
195.8.3_8,0,0,0.084,0,0,0.333,1.714,10.977,7.985,1.505,0.204,0.198,0.914,23.914
201.6.5_3,0,0,0,0,0,0.909,4,16.51,5.971,6.624,0.381,0.433,1.674,36.5
201.6.5_8,0.071,0,0,0,0,0.219,1.731,8.832,1.904,1.161,0.311,0.152,0.729,15.112
201.7.1_3,0,0,0,0,0,0.855,4.512,27.764,3.469,5.794,0.599,0.785,1.805,45.582
201.7.1_8,0,0,0,0,0,0.348,6.799,29.959,4.139,1.553,0.635,0.577,2.076,46.085
201.7.2_3,0.087,0.473,0.552,0.113,0.229,0.8,3.446,17.856,9.89,5.215,0.325,0.542,5.526,45.055
201.7.2_8,0.141,0.215,0.264,0.073,0.112,0.461,5.209,24.935,5.914,2.183,0.638,0.468,2.988,43.6
201.7.3_8,0.265,0.392,0.507,0,0.11,0.328,2.775,11.403,1.607,1.598,0.248,0.222,1.496,20.951
201.7.3_3,0,0,0,0,0,0.57,2.129,14.905,6.677,4.993,0.278,0.277,1.921,31.75
201.7.4_3,0,0,0,0,0,0.614,3.546,17.802,5.975,5.199,0.344,0.623,3.452,37.554
201.7.4_8,0.107,0,0,0,0,0.49,5.624,21.656,4.085,2.962,0.58,0.554,2.671,38.73
201.8.1_3,0,0.135,0.154,0,0,0.707,6.507,24.938,18.284,5.223,0.418,0.653,4.663,61.683
201.8.1_8,0.127,0.142,0.186,0,0,0.25,4.135,18.357,3.463,1.345,0.463,0.386,2.149,31.004
201.8.2_3,0,0,0,0,0,0.708,4.937,21.348,13.964,4.516,0.393,0.768,4.571,51.204
201.8.2_8,0,0,0,0,0,0.264,4.708,18.277,4.716,1.349,0.56,0.503,2.224,32.6
201.8.3_3,0,0.106,0.146,0,0,0.474,2.282,13.339,2.356,3.735,0.421,0.288,1.385,24.53
201.8.3_8,0.079,0.057,0.092,0,0,0.292,2.404,14.384,1.297,1.596,0.374,0.291,1.328,22.193
206.6.2_3,0.091,0,0,0,0,1.22,11.577,18.945,8.659,6.221,0.372,0.537,2.921,50.544
206.6.2_8,0,0,0,0,0,0.686,18.229,22.385,17.227,2.436,0.402,0.421,2.337,64.122
206.6.3_3,0,0,0,0,0,0.95,7.99,24.395,17.308,7.332,0.446,0.809,3.522,62.754
206.6.3_8,0.059,0,0,0,0,0.44,9.749,17.549,9.153,1.693,0.309,0.362,2.034,41.349
206.6.4_3,0,0,0,0,0,1.142,13.376,25.881,31.6,7.795,0.393,0.834,5.823,86.843
206.6.4_8,0,0,0,0,0,0.363,16.944,21.759,17.432,0.649,0.316,0.597,3.174,61.233
206.7.4_3,0,0.084,0,0,0,0.926,10.9,21.939,25.278,5.242,0.346,0.822,3.218,68.754
206.7.4_8,0.133,0,0,0,0,0.503,17.81,22.766,22.356,0.859,0.326,0.817,2.575,68.145
206.7.5_3,0.139,0,0,0,0,1.111,8.938,20.058,11.925,7.067,0.361,0.844,3.795,54.238
206.7.5_8,0.114,0,0,0,0,0.577,12.532,18.981,8.556,2.08,0.333,0.308,2.68,46.161
206.7.7_3,0,0,0,0,0,0.99,4.14,28.188,18.023,8.292,0.523,0.705,3.954,64.817
206.7.7_8,0.092,0,0,0,0,0.509,5.558,26.746,23.765,2.935,0.458,0.505,2.422,62.99
206.8.1_3,0,0,0,0,0,0.957,11.817,21.888,20.585,6.33,0.367,0.447,3.654,66.044
206.8.1_8,0.107,0,0,0,0,0.455,12.677,20.926,8.196,1.403,0.305,0.361,2.006,46.436
206.8.2_3,0,0,0,0,0,0.603,5.165,21.971,41.985,6.176,0.355,0.582,2.943,79.78
206.8.2_8,0,0,0,0,0,0.262,6.333,21.576,31.016,1.569,0.297,0.306,2.008,63.367
