PPGs,NMDS1,NMDS2,r2,p
Calc A,-0.12623516535414822,0.9089251586032537,0.842080260913939,0.001
Conand,-0.9331080454581228,-0.2030788036902382,0.911931625006937,0.001
Verb,-0.3896494143998663,0.12621367180418813,0.167756557092454,0.019
Calc B,-0.4447108157276909,-0.5007699854357132,0.448538287938473,0.001
Mimulo,-0.43794073595427846,0.3939746955715032,0.347008148958834,0.001
Unkn 16,-0.4763038076310348,0.37075416952401796,0.364323971383266,0.001
PPG b,0.3766828735706517,0.28251084903755347,0.221702367065363,0.004
PPG c,0.31418542335315103,0.03195882673253521,0.0997338468537189,0.091
PPG d,0.39664065344110533,-0.11135511305466463,0.169723769165604,0.009
PPG e,-0.05574685526301897,-0.14617225752188015,0.0244740407407588,0.611
PPG f,0.2054635809159234,0.04271838211570738,0.0440401432533778,0.405
PPG g,-0.23156176132262563,0.4822556817248642,0.28619139186275,0.002
PPG h,-0.12562529646298506,0.7906598048086348,0.640924642051442,0.001
