PPG,Total PPGs,Calc A,Conand,Verb,Calc B,Mimulo,Unkn 16,PPG b,PPG c,PPG d,PPG e,PPG f,PPG g,PPG h
Total PPGs,—,0.000,0.000,0.001,0.737,0.000,0.000,0.213,0.229,0.026,0.752,0.451,0.000,0.000
Calc A,0.641,—,0.925,0.111,0.006,0.002,0.004,0.549,0.995,0.480,0.433,0.919,0.000,0.000
Conand,0.724,0.014,—,0.022,0.001,0.011,0.006,0.005,0.062,0.018,0.682,0.173,0.385,0.925
Verb,0.480,0.233,0.330,—,0.220,0.001,0.000,0.053,0.691,0.251,0.925,0.919,0.000,0.761
Calc B,0.050,-0.388,0.465,0.180,—,0.222,0.476,0.053,0.229,0.096,0.192,0.430,0.229,0.001
Mimulo,0.600,0.436,0.363,0.451,0.180,—,0.000,0.426,0.522,0.163,0.844,0.699,0.002,0.127
Unkn 16,0.648,0.404,0.390,0.558,0.105,0.732,—,0.636,0.180,0.657,0.186,0.070,0.000,0.093
PPG b,-0.183,0.089,-0.398,-0.281,-0.282,-0.118,-0.070,—,0.000,0.000,0.729,0.001,0.766,0.106
PPG c,-0.177,-0.001,-0.271,-0.059,-0.177,-0.095,0.197,0.542,—,0.000,0.005,0.000,0.955,0.590
PPG d,-0.322,-0.104,-0.339,-0.169,-0.243,-0.204,0.066,0.516,0.953,—,0.006,0.000,0.394,0.205
PPG e,-0.047,-0.116,0.061,-0.014,0.192,-0.029,0.194,0.051,0.396,0.388,—,0.000,0.737,0.153
PPG f,-0.111,0.015,-0.200,-0.015,-0.116,-0.057,0.264,0.455,0.907,0.869,0.534,—,0.778,0.619
PPG g,0.562,0.489,0.128,0.833,-0.177,0.438,0.556,-0.044,-0.008,-0.126,-0.050,0.042,—,0.005
PPG h,0.563,0.614,0.014,-0.045,-0.472,0.223,0.245,0.236,-0.080,-0.186,-0.209,-0.074,0.400,—
